嚷|rang3|12
嚼|jue2|10
嚼|jiao2|53
嚼|jiao4|2
囊|nang2|132
囊|nang1|16
囤|tun2|6
囤|dun4|3
圈|juan4|22
圈|quan1|132
圜|huan2|5
圜|yuan2|4
在|zai4|363
在|zao4|1
在|zai1|1
圩|wei2|6
圩|xu1|8
地|di4|1634
地|de1|17
场|chang3|466
场|chang2|33
坊|fang1|37
坊|fang2|22
坷|ke1|6
坷|ke3|6
垛|duo4|8
垛|duo3|13
埋|man2|8
埋|mai2|43
埔|pu3|14
埔|bu4|24
堡|pu4|16
堡|bao3|62
堡|bu3|4
堡|pu3|1
塞|se4|112
塞|sai1|132
塞|sai4|66
壳|ke2|69
壳|qiao4|35
处|chu4|137
处|chu3|390
大|dai4|33
大|da4|2754
大|tai4|4
夫|fu2|6
夫|fu1|434
夹|jia1|89
夹|ga1|2
夹|jia2|17
奄|yan3|11
奄|yan1|4
奇|ji1|25
奇|qi2|264
奈|nai4|50
奈|mai4|1
奔|ben1|87
奔|ben4|16
好|hao4|165
好|hao3|457
委|wei3|188
委|wei1|8
委|min2|1
姥|mu3|4
姥|lao3|14
娜|nuo2|21
娜|na4|32
媛|yuan4|7
媛|yuan2|6
嬛|huan2|5
嬛|xuan1|6
宁|ning2|279
宁|ning4|29
宛|wan3|17
宛|yuan1|4
宿|xiu3|24
宿|su4|125
宿|xiu4|15
寸|cun4|158
寸|cu4|3
射|ye4|6
射|she4|368
将|jiang1|127
将|qiang1|12
将|jiang4|220
尉|yu4|8
尉|wei4|28
少|shao3|170
少|shao4|128
尚|shang4|87
尺|che3|4
尺|chi3|188
尽|jin3|10
尽|jin4|437
尾|yi3|8
尾|wei3|238
尿|niao4|71
尿|sui1|6
居|ji1|2
居|ju1|277
屏|ping2|82
屏|bing3|32
屏|bing1|2
属|shu3|172
属|zhu3|20
屯|tun2|75
屯|zhun1|6
岗|gang4|1
岗|gang1|9
岗|gang3|64
峒|tong2|4
峒|dong4|5
峙|zhi4|23
峙|shi4|4
峨|e2|27
差|ci1|8
差|cha4|96
差|cha1|173
差|chai1|76
巷|xiong4|2
巷|hang4|4
巷|xiang4|70
帖|tie1|31
帖|tie4|13
帖|tie3|53
干|gan4|218
干|qian2|16
干|gan1|475
应|ying4|648
应|ying1|74
度|duo2|51
度|du4|553
弄|long4|8
弄|nong4|205
弟|ti4|4
弟|di4|128
弹|dan4|216
弹|tan2|187
强|qiang2|333
强|jiang1|1
强|qiang3|75
强|jiang4|18
当|huo4|1
当|dang1|377
当|dang4|146
彤|tong1|3
彤|tong2|8
彭|peng2|36
彭|bang1|4
彷|pang2|6
彷|fang3|4
征|zheng1|170
征|zhi3|5
待|dai4|205
待|dai1|6
得|dei3|20
得|de4|1
得|de2|839
徵|zheng1|3
徵|zhi3|3
忒|tui1|5
忒|te4|6
怔|zheng1|12
怔|zheng4|10
思|sai1|2
思|si1|381
息|xi1|271
恶|wu4|57
恶|e3|4
恶|e4|309
悄|qiao3|10
悄|qiao1|13
惧|ju3|4
惧|ju4|31
戗|qiang4|4
戗|qiang1|3
房|fang2|307
房|pang2|6
扁|pian1|5
扁|bian3|47
扇|shan4|72
扇|shan1|24
扎|zha1|68
扎|zha2|12
扎|za1|41
扒|pa2|16
扒|ba1|22
扛|kang2|9
扛|gang1|10
扫|sao4|15
扫|sao3|109
把|ba3|127
把|ba4|26
折|zhe2|209
折|zhe1|12
折|she2|112
抢|qiang3|75
抢|qiang1|14
抹|mo3|45
抹|ma1|6
抹|mo4|38
拂|fu2|27
拂|bi4|6
担|dan4|23
担|dan1|58
拉|la2|2
拉|la4|4
拉|la3|6
拉|la1|821
拓|ta4|5
拓|tuo4|63
拗|niu4|12
拗|ao4|10
拗|ao3|3
拚|pin1|5
拚|pan4|8
拧|ning3|7
拧|ning2|3
择|zhai2|10
择|ze2|68
拽|zhuai1|8
拽|zhuai4|16
拾|shi1|2
拾|she4|4
拾|shi2|57
挑|tiao3|71
挑|tiao1|64
挟|xie2|17
挟|jia1|4
挡|dang4|4
挡|dang3|53
挣|zheng1|10
挣|zheng4|14
挨|ai2|48
挨|ai1|37
捱|ai2|4
捱|ai1|4
掇|duo1|17
排|pai3|4
排|pai2|227
掖|ye4|30
掖|ye1|10
掠|lue3|17
掠|lue4|28
掸|shan4|4
掸|dan3|7
提|ti2|271
提|di1|9
揣|chuai1|9
揣|chuai4|4
揣|chuai3|24
搁|ge1|15
搁|ge2|4
搂|lou1|8
搂|lou3|4
摩|mo2|176
摩|ma1|4
摽|biao1|3
摽|biao4|4
撅|jue1|12
撅|jue2|4
撇|pie1|11
撇|pie3|14
撒|sa1|109
撒|sa3|42
撩|liao1|3
