㕷|hua4|3
㕸|li4|3
㕹|fa2|3
㕺|xiao1|3
㕻|pou3|3
㕽|si4|3
㖀|le4|3
㖁|lin4|3
㖂|yi4|3
㖃|hou3|3
㖅|xu4|3
㖆|qu2|3
㖇|er2|3
㖊|xun2|3
㖏|nie4|3
㖐|wei3|3
㖑|xie4|3
㖒|ti2|3
㖓|hong2|3
㖔|tun3|3
㖕|nie4|3
㖖|nie4|3
㖗|yin2|3
㖘|zhen1|3
㖞|wai1|3
㖟|shou4|3
㖠|nuo4|3
㖡|ye4|3
㖢|qi2|3
㖣|tou4|3
㖤|han2|3
㖥|jun4|3
㖦|dong3|3
㖧|hun1|3
㖨|lu4|3
㖩|ju1|3
㖪|huo4|3
㖫|ling2|3
㖭|tian3|3
㖮|lun2|3
㖵|ge2|3
㖶|yan1|3
㖷|shi2|3
㖸|xue2|3
㖹|pen1|3
㖺|chun3|3
㖻|niu2|3
㖼|duo3|3
㖽|ze2|3
㖾|e4|3
㖿|xie2|3
㗀|you1|3
㗁|e4|3
㗂|sheng3|3
㗃|wen3|3
㗄|ku1|3
㗅|hu2|3
㗆|ge2|3
㗇|xia2|3
㗈|man4|3
㗉|lue4|3
㗊|ji2|3
㗋|hou2|3
㗌|zhi4|3
㗏|wai1|3
㗑|bai1|3
㗒|ai4|3
㗓|zhui1|3
㗔|qian1|3
㗕|gou4|3
㗖|dan4|3
㗗|bei1|3
㗘|bo2|3
㗙|chu1|3
㗚|li4|3
㗛|xiao4|3
㗜|xiu4|3
㗢|hong2|3
㗣|ti4|3
㗤|cu4|3
㗥|kuo4|3
㗦|lao2|3
㗧|zhi4|3
㗨|xie1|3
㗩|xi1|3
㗫|qie4|3
㗬|zha1|3
㗭|xi1|3
㗰|cong2|3
㗱|ji2|3
㗲|huo4|3
㗳|ta3|3
㗴|yan2|3
㗵|xu4|3
㗶|po1|3
㗷|sai3|3
㗻|guo1|3
㗼|ye4|3
㗽|xiang3|3
㗾|xue1|3
㗿|he2|3
㘀|zuo4|3
㘁|yi4|3
㘂|ci2|3
㘄|leng1|3
㘅|xian2|3
㘆|tai3|3
㘇|rong2|3
㘈|yi4|3
㘉|zhi4|3
㘊|xi1|3
㘋|xian2|3
㘌|ju4|3
㘍|ji2|3
㘎|han3|3
㘐|pao4|3
㘑|li4|3
㘓|lan2|3
㘔|sai3|3
㘕|han3|3
㘖|yan2|3
㘗|qu1|3
㘙|yan2|3
㘚|han3|3
㘛|kan1|3
㘜|chi3|3
㘝|nie4|3
㘞|huo4|3
㘠|bi4|3
㘡|xia2|3
㘢|weng3|3
㘣|xuan2|3
㘤|wan1|3
㘥|you2|3
㘦|qin2|3
㘧|xu4|3
㘨|nie4|3
㘩|bi4|3
㘪|hao4|3
㘫|jing3|3
㘬|ao4|3
㘭|ao4|3
㘰|zhen1|3
㘱|tan1|3
㘲|ju2|3
㘴|zuo4|3
㘵|bu4|3
㘶|jie2|3
㘷|ai4|3
㘸|zang4|3
㘹|ci2|3
㘺|fa2|3
㘿|nie4|3
㙀|liu4|3
㙁|mei2|3
㙂|dui4|3
㙃|bang1|3
㙄|bi4|3
㙅|bao3|3
㙇|chu4|3
㙈|xia4|3
㙉|tian3|3
㙊|chang2|3
㙍|duo1|3
㙎|wei1|3
㙏|fu4|3
㙐|duo3|3
㙑|yu3|3
㙒|ye3|3
㙓|kui2|3
㙔|wei3|3
㙕|kuai4|3
㙗|wei1|3
㙘|yao1|3
㙙|long3|3
㙚|xing1|3
㙛|bu3|3
㙜|chi2|3
㙝|xie2|3
㙞|nie4|3
㙟|lang3|3
㙠|yi1|3
㙡|zong1|3
㙢|man2|3
㙣|zhang4|3
㙤|xia4|3
㙥|gun4|3
㙦|xie2|3
㙨|ji4|3
㙩|liao2|3
㙪|yi4|3
㙫|ji2|3
㙬|yin2|3
㙮|da1|3
㙯|yi4|3
㙰|xie4|3
㙱|hao4|3
㙲|yong3|3
㙳|kan3|3
㙴|chan4|3
㙵|tai2|3
㙶|tang2|3
㙷|zhi2|3
㙸|bao4|3
㙹|meng2|3
㙺|kui2|3
㙻|chan2|3
㙼|lei3|3
㙾|xi4|3
㚀|xi1|3
㚁|qiao4|3
㚂|nang4|3
㚃|yun1|3
㚅|long2|3
㚆|fu4|3
㚇|zong1|3
㚉|gu3|3
㚊|kai1|3
㚋|diao1|3
㚌|hua4|3
㚍|kui3|3
㚏|gao3|3
㚐|tao4|3
㚒|shan3|3
㚓|lai3|3
㚔|nie4|3
㚕|fu2|3
㚖|gao3|3
㚗|qie2|3
㚘|ban4|3
㚙|jia1|3
㚚|kong1|3
㚛|xi4|3
㚜|yu4|3
㚝|zhui1|3
㚞|shen3|3
㚟|chuo4|3
㚠|xiao1|3
㚡|ji3|3
